index,ndvi
2015-10-02,0.2646137475967407
2015-10-03,0.2653077126935471
2015-10-04,0.26600167779035344
2015-10-05,0.26669564288715986
2015-10-06,0.2673896079839662
2015-10-07,0.2680835730807726
2015-10-08,0.26877753817757893
2015-10-09,0.2694715032743853
2015-10-10,0.2701654683711917
2015-10-11,0.27085943346799807
2015-10-12,0.2715533985648044
2015-10-13,0.2722473636616108
2015-10-14,0.27294132875841715
2015-10-15,0.27363529385522356
2015-10-16,0.2743292589520299
2015-10-17,0.2750232240488363
2015-10-18,0.27571718914564264
2015-10-19,0.27641115424244905
2015-10-20,0.2771051193392554
2015-10-21,0.27779908443606177
2015-10-22,0.27849304953286813
2015-10-23,0.2791870146296745
2015-10-24,0.2798809797264809
2015-10-25,0.28057494482328726
2015-10-26,0.2812689099200936
2015-10-27,0.2819628750169
2015-10-28,0.28265684011370634
2015-10-29,0.28335080521051276
2015-10-30,0.2840447703073191
2015-10-31,0.2847387354041255
2015-11-01,0.28543270050093184
2015-11-02,0.28612666559773825
2015-11-03,0.2868206306945446
2015-11-04,0.28751459579135097
2015-11-05,0.28820856088815733
2015-11-06,0.2889025259849637
2015-11-07,0.2895964910817701
2015-11-08,0.29029045617857646
2015-11-09,0.2909844212753828
2015-11-10,0.2916783863721892
2015-11-11,0.29237235146899554
2015-11-12,0.29306631656580195
2015-11-13,0.2937602816626083
2015-11-14,0.2944542467594147
2015-11-15,0.29552673995494844
2015-11-16,0.2965992331504822
2015-11-17,0.2976717263460159
2015-11-18,0.29874421954154967
2015-11-19,0.29981671273708344
2015-11-20,0.3008892059326172
2015-11-21,0.30196169912815096
2015-11-22,0.30303419232368467
2015-11-23,0.30410668551921843
2015-11-24,0.3051791787147522
2015-11-25,0.30521296884151217
2015-11-26,0.3052467589682721
2015-11-27,0.30528054909503205
2015-11-28,0.305314339221792
2015-11-29,0.305348129348552
2015-11-30,0.3053819194753119
2015-12-01,0.30541570960207187
2015-12-02,0.30544949972883184
2015-12-03,0.3054832898555918
